   62 1818    0
                   1.8708455E+00   6.0474214E-01  -2.0995781E+00
                  -1.3277547E+01   2.6910607E+00  -1.0939131E+00
                   9.0901407E+00   2.9606727E+00  -3.3475995E-01
                   1.2367683E+01   4.5698117E+00   1.8248631E+00
                   7.2048360E-01  -1.7087739E+00  -1.1469445E+00
                   2.0943722E+00  -2.1968051E+00   1.4165947E+00
                  -2.1451275E+00  -1.1613489E+00  -9.8135576E-01
                  -2.5870635E+00   1.1081154E+00   8.5865622E-01
                  -5.4521337E+00   1.9055037E+00   1.0507164E+00
                   4.8972385E+00  -2.8200369E+00   5.2165485E-01
                   1.6332661E+00   1.0152883E-01   3.1354229E+00
                  -1.2256385E+00   6.6703402E-01   3.4197910E+00
                   1.7096733E+00  -3.8382779E+00  -2.8459656E+00
                  -7.2325448E+00  -4.3332723E-01   1.3790603E+00
                  -3.9052589E+00  -3.4141756E+00  -4.4273593E-01
                   4.5781304E+00  -3.8314351E+00  -2.2550630E+00
                  -6.6687766E+00  -2.5679591E+00  -5.2836057E-01
                   1.2090535E+00  -4.6054849E+00   2.8298667E+00
                  -6.2023034E+00   3.3358479E+00  -1.4110537E+00
                  -1.0049431E+01   3.3766861E-01   1.2564648E+00
                  -9.0210537E+00   4.0380959E+00  -1.5810139E+00
                  -1.0744793E+01   1.7559715E+00  -1.1788456E+00
                   6.9068633E+00  -7.9832298E-01   8.8975874E-01
                   8.6101894E+00  -9.5175334E-01   3.0051085E+00
                   7.2707283E+00   1.2085788E+00  -6.7161190E-01
                   1.0456591E+01   7.9042274E-01   3.4052840E+00
                   1.0809411E+01   2.9028242E+00   1.7031749E+00
                  -2.6764605E+00  -5.1663172E-01  -2.8929332E+00
                  -1.6196258E+00   2.7320076E+00   5.5897379E-03
                  -5.7963220E+00   3.7305458E+00   3.3059317E+00
                   5.5398476E+00  -4.4010822E+00   1.6925621E+00
                   2.5732388E+00   1.7648742E+00   2.3484285E+00
                   2.4560691E+00  -2.2210162E-01   5.0145405E+00
                  -2.1526610E+00  -8.4951080E-01   4.4911907E+00
                  -1.3998751E+00   2.3624442E+00   4.5893498E+00
                   1.3153460E+00  -3.4791223E+00  -4.8509178E+00
                   8.3352281E-01  -5.6539499E+00  -2.3780387E+00
                  -6.8845088E+00  -1.2231694E+00   3.2726227E+00
                  -3.5348511E+00  -4.2525147E+00   1.4085835E+00
                  -3.5807498E+00  -4.9140320E+00  -1.8388160E+00
                   5.4131958E+00  -5.7137091E+00  -2.4604616E+00
                   5.5642368E+00  -2.5943458E+00  -3.5806488E+00
                  -7.1393848E+00  -1.9712271E+00  -2.4590666E+00
                  -7.9096242E+00  -4.1793721E+00  -1.1007689E-01
                   1.2905026E+00  -6.3060255E+00   1.6539538E+00
                  -6.9554199E-01  -4.4614524E+00   3.6001211E+00
                   2.4768197E+00  -4.9160691E+00   4.4410527E+00
                  -5.7098800E+00   2.1903784E+00  -3.0693086E+00
                  -5.0632317E+00   5.0650979E+00  -1.5601871E+00
                  -1.1227250E+01  -1.3689081E+00   1.4274600E+00
                  -1.0547300E+01   1.5539999E+00   2.8593253E+00
                   1.0579189E+00   9.6947458E-01  -3.7039207E+00
                  -9.5169144E+00   5.4669329E+00  -1.6382769E-01
                  -9.4309360E+00   4.8894050E+00  -3.4260198E+00
                  -1.0538274E+01   4.7319388E-01  -2.8080148E+00
                   8.4087729E+00  -2.5274221E+00   4.3130882E+00
                   6.1154841E+00   1.6177202E+00  -2.3077815E+00
                  -1.4390279E+01   1.2548033E+00  -8.4507888E-01
                   1.1750603E+01   6.8007626E-01   4.9901193E+00
                  -5.5682382E+00   2.7597557E+00   5.1196447E+00
                  -7.6664270E+00   4.6054635E+00   3.3188473E+00
                  -4.4062723E+00   5.2673219E+00   3.2294089E+00
  -2.3473900E-02   2.8620600E+00   3.6553900E+00  -2.4765000E-01
  -1.1894900E-02   3.7227800E+00   3.8123800E+00  -2.0995800E+00
  -1.1508900E-02   1.8708500E+00   4.3086100E+00  -2.0995800E+00
   1.0953200E-02   2.8620600E+00   3.6553900E+00  -3.9515100E+00
  -2.3691800E-02  -1.2351580E+01   4.2948800E+00   2.1137300E+00
  -3.2611300E-02  -1.4203510E+01   4.2948800E+00   2.1137300E+00
  -1.0996500E-02  -1.5129480E+01   2.6910600E+00   2.1137300E+00
  -4.1209900E-02  -1.4268760E+01   5.7417100E+00   7.5802000E-01
  -2.8951000E-02  -1.5872580E+01   4.5764600E+00   7.5802000E-01
  -4.0068700E-02  -1.3277550E+01   6.3949200E+00  -1.0939100E+00
  -4.2130600E-02  -1.5129480E+01   5.8987000E+00  -1.0939100E+00
  -2.6337400E-02  -1.6485190E+01   4.5429900E+00  -1.0939100E+00
  -4.3168200E-02  -1.4268760E+01   5.7417100E+00  -2.9458400E+00
  -3.4655900E-02  -1.5872580E+01   4.5764600E+00  -2.9458400E+00
  -8.6881200E-03  -1.6485190E+01   2.6910600E+00  -2.9458400E+00
  -3.8367300E-02  -1.4203510E+01   4.2948800E+00  -4.3015500E+00
  -2.4289600E-02  -1.5129480E+01   2.6910600E+00  -4.3015500E+00
  -6.1489300E-03  -1.4203510E+01   1.0872400E+00  -4.3015500E+00
  -2.4856500E-02  -1.3277550E+01   2.6910600E+00  -4.7977800E+00
  -2.4673600E-02   8.0989300E+00   6.0113200E+00   1.5171700E+00
  -1.2005500E-02   6.4951100E+00   4.8460800E+00   1.5171700E+00
  -4.3680500E-02   9.0901400E+00   6.6645400E+00  -3.3476000E-01
  -2.8561300E-02   7.2382100E+00   6.1683100E+00  -3.3476000E-01
  -3.0435400E-02   1.2297780E+01   2.9606700E+00  -2.1866900E+00
  -4.8803000E-02   1.1685180E+01   4.8460800E+00  -2.1866900E+00
  -4.6090700E-02   1.0081360E+01   6.0113200E+00  -2.1866900E+00
  -3.2548000E-02   8.0989300E+00   6.0113200E+00  -2.1866900E+00
  -8.1022900E-03   6.4951100E+00   4.8460800E+00  -2.1866900E+00
  -1.1985500E-02   1.1685180E+01   1.0752700E+00  -2.1866900E+00
  -2.7010600E-02   1.0942070E+01   2.9606700E+00  -3.5424000E+00
  -3.3601200E-02   1.0016110E+01   4.5644900E+00  -3.5424000E+00
  -1.7843000E-02   8.1641700E+00   4.5644900E+00  -3.5424000E+00
  -8.3215500E-03   1.0016110E+01   1.3568500E+00  -3.5424000E+00
  -1.1571900E-02   9.0901400E+00   2.9606700E+00  -4.0386200E+00
  -3.6285000E-02   1.2367680E+01   4.5698100E+00   5.5287300E+00
  -4.8534800E-02   1.4219610E+01   4.5698100E+00   5.0325000E+00
  -5.2039900E-02   1.3293650E+01   6.1736300E+00   5.0325000E+00
  -4.2693000E-02   1.1441720E+01   6.1736300E+00   5.0325000E+00
  -5.4242800E-02   1.5575320E+01   4.5698100E+00   3.6767900E+00
  -5.8095700E-02   1.4962720E+01   6.4552100E+00   3.6767900E+00
  -5.6746100E-02   1.3358900E+01   7.6204600E+00   3.6767900E+00
  -5.0400300E-02   1.1376470E+01   7.6204600E+00   3.6767900E+00
  -3.4411300E-02   9.7726500E+00   6.4552100E+00   3.6767900E+00
  -3.9177900E-02   1.4962720E+01   2.6844100E+00   3.6767900E+00
  -5.4480500E-02   1.6071550E+01   4.5698100E+00   1.8248600E+00
  -5.8944600E-02   1.5575320E+01   6.4217400E+00   1.8248600E+00
  -6.0291500E-02   1.4219610E+01   7.7774500E+00   1.8248600E+00
  -5.8829700E-02   1.2367680E+01   8.2736700E+00   1.8248600E+00
  -5.1927300E-02   1.0515750E+01   7.7774500E+00   1.8248600E+00
  -4.3581200E-02   1.5575320E+01   2.7178800E+00   1.8248600E+00
  -5.3165600E-02   1.5575320E+01   4.5698100E+00  -2.7070000E-02
  -5.9730500E-02   1.4962720E+01   6.4552100E+00  -2.7070000E-02
  -6.2457600E-02   1.3358900E+01   7.6204600E+00  -2.7070000E-02
  -6.0222300E-02   1.1376470E+01   7.6204600E+00  -2.7070000E-02
  -3.9726400E-02   1.4962720E+01   2.6844100E+00  -2.7070000E-02
  -5.1739600E-02   1.4219610E+01   4.5698100E+00  -1.3827800E+00
  -5.9928900E-02   1.3293650E+01   6.1736300E+00  -1.3827800E+00
  -5.9574300E-02   1.1441720E+01   6.1736300E+00  -1.3827800E+00
  -5.0278900E-02   1.2367680E+01   4.5698100E+00  -1.8790000E+00
   2.3593900E-02   4.8972400E+00  -2.8200400E+00   4.4900800E+00
   4.8058600E-03  -1.2256400E+00   6.6703000E-01   7.3882200E+00
   1.7376600E-02  -1.5878700E+00  -4.8065200E+00  -4.8301800E+00
   1.1237400E-02   3.1373500E+00  -6.9644600E+00  -4.8301800E+00
   2.5560400E-03   8.5465600E+00  -3.8314400E+00  -2.2550600E+00
   8.2003500E-03   5.5702400E+00  -5.5498100E+00  -5.6918200E+00
   1.2027800E-02  -9.9663200E+00  -3.5362100E+00  -2.5125700E+00
   1.0716400E-02   2.1695000E-01  -2.8871100E+00   6.2666200E+00
   9.6721500E-03   2.1695000E-01  -6.3238600E+00   6.2666200E+00
   8.8704300E-03   7.1995000E-01  -8.0072600E+00   4.8140800E+00
   1.5235800E-02  -2.7655500E+00   3.3358500E+00  -3.3952700E+00
   6.7943400E-03  -5.2102000E+00   5.0542300E+00  -4.8478100E+00
   6.9669400E-03  -1.1041540E+01  -1.3807100E+00   4.6932200E+00
  -4.1645900E-03   9.7980500E+00  -2.6563700E+00  -1.0944500E+00
  -3.5800400E-03   7.6180800E+00   7.6662000E-01   6.4418600E+00
   1.0753500E-02   6.6259800E+00  -9.5175000E-01   6.4418600E+00
  -7.7735600E-03   6.3595900E+00   1.6455700E+00   4.9893200E+00
   1.8606600E-02   5.3126500E+00  -1.9200000E+00   4.9893200E+00
   1.4532200E-02   1.1501370E+01  -2.8098000E+00   4.9893200E+00
   8.8589800E-03   1.0864510E+01  -4.2177000E+00   3.0051100E+00
  -2.7704100E-03   1.2124050E+01  -2.7959700E+00   3.0051100E+00
   4.8051200E-03   1.0037870E+01  -4.0779400E+00   1.0209000E+00
  -6.1540600E-03   1.1501370E+01  -2.8098000E+00   1.0209000E+00
  -1.8021300E-03   6.2786200E+00   2.9269600E+00   2.7651400E+00
  -5.2820500E-03   5.0201300E+00   3.8059100E+00   1.3126000E+00
  -1.0761700E-02   5.8635100E+00   4.9191200E+00  -6.7161000E-01
  -1.1239700E-02   4.3003200E+00   3.8401300E+00  -6.7161000E-01
   2.6496300E-03   1.0784590E+01  -6.3564000E-01  -6.7161000E-01
  -4.6445300E-04   8.6984100E+00  -1.9176000E+00  -2.6558200E+00
  -2.1679700E-03   1.0161910E+01  -6.4947000E-01  -2.6558200E+00
  -3.5280700E-04   9.2549400E+00   1.2085800E+00  -4.1083700E+00
   8.1862300E-03   8.2628300E+00  -5.0980000E-01  -4.1083700E+00
  -6.2735900E-03   9.4644800E+00   2.5088000E+00   6.8420400E+00
  -1.8868900E-03   8.4723800E+00   7.9042000E-01   6.8420400E+00
  -1.3743900E-02   9.9674900E+00   4.1922000E+00   5.3895000E+00
  -1.0464500E-02   8.2059900E+00   3.3877500E+00   5.3895000E+00
  -2.2903200E-03   1.2710910E+01  -2.4755300E+00   3.4052800E+00
  -4.1701300E-03   1.3970460E+01  -1.0538000E+00   3.4052800E+00
  -1.0394800E-02   1.3347770E+01  -1.0676300E+00   1.4210700E+00
  -2.7704000E-03   1.1448700E+01  -9.2796000E-01  -3.1470000E-02
  -1.6193900E-02   9.8173100E+00   4.6212000E+00   5.1399300E+00
  -1.4075300E-02   8.5588100E+00   5.5001500E+00   3.6873900E+00
  -2.5824500E-03   7.5118700E+00   3.8710700E+00   3.6873900E+00
  -1.8770300E-02   1.4323280E+01   1.0586100E+00   1.7031700E+00
  -2.1839000E-03   1.2237090E+01  -2.2336000E-01  -2.8104000E-01
  -1.3721700E-02   1.3700590E+01   1.0447700E+00  -2.8104000E-01
  -3.0013600E-02   1.2793620E+01   2.9028200E+00  -1.7335800E+00
   2.7496000E-02  -2.1521500E+00   2.4568500E+00  -3.8739800E+00
   3.6372000E-02  -2.0998100E+00   1.2581000E+00  -5.4613500E+00
   2.4722500E-02  -4.1861400E+00   5.8021000E-01  -5.4613500E+00
   2.1480200E-02  -4.1861400E+00  -1.6134800E+00  -5.4613500E+00
   2.4734000E-02  -2.0998100E+00  -2.2913700E+00  -5.4613500E+00
   2.8032500E-02  -2.6764600E+00  -5.1663000E-01  -6.0676700E+00
  -1.7678100E-03   6.9334000E-01   4.6728100E+00   9.8664000E-01
   5.5310100E-03  -1.0953200E+00   5.7054900E+00   9.8664000E-01
  -5.8249000E-03   6.9334000E-01   4.6728100E+00  -9.7546000E-01
   6.5376500E-03  -1.0953200E+00   5.7054900E+00  -9.7546000E-01
   1.0820200E-02  -1.0429800E+00   4.5067400E+00  -2.5628300E+00
   2.4628800E-02  -1.6196300E+00   2.7320100E+00  -3.1691500E+00
